20120201,784641,y41430271044,1,2,551,576,77,1
20120201,784641,y25562172896,1,2,551,87,141,1
20120201,784641,y58059283983,1,2,551,551,13,1
20120201,784641,y26959498945,1,2,551,551,351,1
20120201,784641,y36759052744,1,2,551,551,78,1
20120201,363202,y41430271044,3,2,576,576,77,1
20120201,363202,y25562172896,3,2,576,87,141,1
20120201,363202,y58059283983,3,2,576,551,13,1
20120201,363202,y26959498945,3,2,576,551,351,1
20120201,95812,y25562172896,1,2,25,87,141,1
20120201,95812,y58059283983,1,2,25,551,13,1
20120201,95812,y26959498945,1,2,25,551,351,1
20120201,365280,y41430271044,1,2,87,576,77,1
20120201,365280,y25562172896,1,2,87,87,141,1
20120201,365280,y58059283983,1,2,87,551,13,1
20120201,365280,y26959498945,1,2,87,551,351,1
20120201,y41430271044,y27665458290,1,2,576,551,34,1
20120201,y41430271044,y27370573693,1,2,576,25,24,1
20120201,y41430271044,y36769271414,1,2,576,551,100,1
20120201,y41430271044,y35376613644,1,2,576,576,358,3
20120201,95812,y27665458290,1,2,25,551,34,1
20120201,95812,y27370573693,1,2,25,25,24,1
20120201,95812,y36769271414,1,2,25,551,100,1
20120201,95812,y35376613644,1,2,25,576,358,3
20120201,1023148,y41430271044,1,1,551,576,15,1
20120201,1023148,y25562172896,1,1,551,87,40,1
20120201,1023148,y58059283983,1,1,551,551,8,1
20120201,1023148,y26959498945,1,1,551,551,20,1
20120201,1023148,y36759052744,1,1,551,551,26,1
20120201,1023148,y27665458290,1,1,551,551,43,1
20120201,1023148,y27370573693,1,1,551,25,92,1
20120201,1023148,y36769271414,1,1,551,551,25,1
20120201,1023148,y35376613644,1,1,551,576,101,1
20120201,1023148,y27665579474,1,1,551,551,12,1
20120201,1023148,y58059487711,1,1,551,551,7,1
20120201,y36759052744,292288,1,1,551,553,26,1
20120201,y36759052744,274078,1,1,551,551,38,1
20120201,y36759052744,y22552512823,1,3,551,551,69,1
20120201,y36759052744,1025158,1,1,551,576,44,1
20120201,y36759052744,y22904574183,1,3,551,551,31,1
20120201,794280,274078,1,1,772,551,36,1
20120201,794280,749290,1,1,772,551,120,1
20120201,794280,776955,1,1,772,551,24,1
20120201,794280,g79308607,1,1,772,579,19,1
20120201,794280,292288,1,1,772,553,26,1
20120201,794280,274078,1,1,772,551,38,1
20120201,794280,y22552512823,1,3,772,551,69,1
20120201,794280,y41430271044,1,2,551,576,77,1
20120201,794280,y25562172896,1,2,551,87,141,1
20120201,794280,y58059283983,1,2,551,551,13,1
20120201,794280,y26959498945,1,2,551,551,351,1
20120201,794280,y36759052744,1,2,551,551,78,1
20120201,296382,8365023,1,1,551,551,12,1
20120201,296382,5556875,1,1,551,551,10,1
20120201,298965,y39565778442,1,3,551,551,54,1
20120201,259399,743961,1,1,551,551,18,1
20120201,294731,794280,1,1,551,772,22,1
20120201,794280,274078,1,1,772,551,36,1
20120201,296382,994388,1,1,551,551,44,1
20120201,296382,6462520,1,1,551,551,25,1
20120201,296382,7889368,1,1,551,551,15,1
20120201,796206,y36762264470,1,2,87,551,92,1
20120201,796206,y27659523907,1,2,87,551,7,1
20120201,y26959498945,y35372174993,1,2,551,551,40,1
20120201,y26959498945,y26410658289,1,2,551,516,87,1
20120201,y26959498945,y27036054123,1,2,551,551,20,1
20120201,796206,y35518716780,1,2,87,551,52,1
20120201,796206,y25842539710,1,2,87,551,66,1
20120201,y26959498945,y41430271044,1,2,551,551,22,1
20120201,y26959498945,y25562172896,1,2,551,551,70,1
20120201,y26959498945,y58059283983,1,2,551,551,184,1
20120201,298965,5556875,1,3,551,551,54,1
20120201,259399,5556875,1,1,551,551,18,1
20120201,294731,5556875,1,1,551,551,22,1
20120201,744622,5556875,1,1,551,551,36,1
20120201,292029,5556875,1,1,551,551,120,1
20120201,234750,5556875,1,1,551,551,24,1
20120201,763707,5556875,1,1,551,579,19,1
20120201,1008566,389699,1,1,551,551,1767,1
20120201,1008566,1023148,1,1,551,551,16,1
20120201,240958,329537,1,3,551,551,23,1
20120201,777598,366123,1,1,551,551,15,1
20120201,243970,250508,1,1,551,551,40,1
20120201,1021062,389699,1,1,551,551,8,1
20120201,274395,366123,1,1,551,551,20,1
20120201,274395,1018568,1,1,551,551,26,1
20120201,1023738,751766,1,1,551,551,43,1
20120201,292851,389699,1,1,551,551,92,1
20120201,1027982,366123,1,1,551,551,25,1
20120201,1027982,285977,1,1,551,551,101,1
20120201,1021062,2178788,1,1,551,551,12,1
20120201,1021062,389699,1,1,551,551,7,1
20120201,389699,292029,1,1,551,551,7,1
